gs_name,gene_symbol
Adipocytes.Connective tissue,Fst
Adipocytes.Connective tissue,Egfr
Adipocytes.Connective tissue,Cpxm1
Adipocytes.Connective tissue,C3
Adipocytes.Connective tissue,Adamts5
Adipocytes.Connective tissue,Timp1
Adipocytes.Connective tissue,Metrn
Adipocytes.Connective tissue,Metrnl
Adipocytes.Connective tissue,Myo1c
Adipocytes.Connective tissue,Nqo1
Adipocytes.Connective tissue,Syap1
Adipocytes.Connective tissue,Crnde
Adipocytes.Connective tissue,Aqp5
Adipocytes.Connective tissue,Tspo
Adipocytes.Connective tissue,Azgp1
Adipocytes.Connective tissue,Lrp1
Adipocytes.Connective tissue,Pde3b
Adipocytes.Connective tissue,Lgals12
Adipocytes.Connective tissue,Serpinf1
Adipocytes.Connective tissue,Cpt1b
Adipocytes.Connective tissue,Elovl3
Adipocytes.Connective tissue,Ppargc1a
Adipocytes.Connective tissue,Mpzl1
Adipocytes.Connective tissue,Cited1
Adipocytes.Connective tissue,Dpt
Adipocytes.Connective tissue,Hoxc9
Adipocytes.Connective tissue,Esm1
Adrenergic neurons.Brain,Th
Adrenergic neurons.Brain,Ddc
Adrenergic neurons.Brain,Dbh
Adrenergic neurons.Brain,Pnmt
Adrenergic neurons.Brain,Slc18a2
Adrenergic neurons.Brain,Npff
Adrenergic neurons.Brain,Slc12a7
Adrenergic neurons.Brain,Syt1
Airway epithelial cells.Lungs,Aqp1
Airway epithelial cells.Lungs,Adh7
Airway epithelial cells.Lungs,Cdh1
Airway epithelial cells.Lungs,Sec14l3
Airway goblet cells.Lungs,Muc5b
Airway goblet cells.Lungs,Muc16
Airway goblet cells.Lungs,Ltf
Airway goblet cells.Lungs,Scgb3a1
Airway goblet cells.Lungs,Dcpp1
Airway goblet cells.Lungs,Dmbt1
Airway goblet cells.Lungs,Wfdc18
Airway goblet cells.Lungs,Dcpp3
Airway goblet cells.Lungs,Lipf
Airway goblet cells.Lungs,Dcpp2
Airway goblet cells.Lungs,Msln
Airway goblet cells.Lungs,Agr2
Airway goblet cells.Lungs,Gp2
Airway goblet cells.Lungs,Pigr
Airway goblet cells.Lungs,Tff2
Airway goblet cells.Lungs,Aqp5
Airway goblet cells.Lungs,Cbr2
Airway goblet cells.Lungs,Qsox1
Airway goblet cells.Lungs,Fxyd3
Airway goblet cells.Lungs,Sec23b
Airway goblet cells.Lungs,Ceacam1
Airway goblet cells.Lungs,Golph3
Airway goblet cells.Lungs,Ggh
Airway goblet cells.Lungs,Galnt5
Airway goblet cells.Lungs,Galnt6
Airway goblet cells.Lungs,Muc5ac
Airway goblet cells.Lungs,Muc4
Airway goblet cells.Lungs,Muc20
Airway goblet cells.Lungs,Spdef
Airway goblet cells.Lungs,Dusp4
Airway smooth muscle cells.Smooth muscle,Nog
Airway smooth muscle cells.Smooth muscle,Acta2
Airway smooth muscle cells.Smooth muscle,Foxf1
Airway smooth muscle cells.Smooth muscle,Gata5
Alpha cells.Pancreas,Gcg
Alpha cells.Pancreas,Ttr
Alpha cells.Pancreas,Glp1r
Alpha cells.Pancreas,Arx
Alpha cells.Pancreas,Pou3f4
Alpha cells.Pancreas,Nkx2-2
Alpha cells.Pancreas,Resp18
Alpha cells.Pancreas,Pyy
Alpha cells.Pancreas,Pcsk2
Alpha cells.Pancreas,Slc38a5
Alpha cells.Pancreas,Tm4sf4
Alpha cells.Pancreas,Cryba2
Alpha cells.Pancreas,Nkx6-1
Alpha cells.Pancreas,Kcnk16
Alpha cells.Pancreas,Pcsk1
Alpha cells.Pancreas,Prrg2
Alpha cells.Pancreas,Irx2
Alpha cells.Pancreas,Aldh1a1
Alpha cells.Pancreas,Pemt
Alpha cells.Pancreas,Chga
Alpha cells.Pancreas,Smim24
Alpha cells.Pancreas,F10
Alpha cells.Pancreas,Scgn
Alpha cells.Pancreas,Slc30a8
Alpha cells.Pancreas,Sh3gl2
Alpha cells.Pancreas,Fap
Alpha cells.Pancreas,Dpp4
Alpha cells.Pancreas,Gpr119
Alpha cells.Pancreas,Mafb
Alpha cells.Pancreas,Pax6
Alpha cells.Pancreas,Neurod1
Alpha cells.Pancreas,Loxl4
Alpha cells.Pancreas,Plce1
Alpha cells.Pancreas,Gc
Alpha cells.Pancreas,Klhl41
Alpha cells.Pancreas,Fev
Alpha cells.Pancreas,Ptger3
Alpha cells.Pancreas,Rfx6
Alpha cells.Pancreas,Smarca1
Alpha cells.Pancreas,Pgr
Alpha cells.Pancreas,Ldb2
Alpha cells.Pancreas,Irx1
Alpha cells.Pancreas,Ucp2
Alpha cells.Pancreas,Fxyd5
Alpha cells.Pancreas,Rgs4
Alpha cells.Pancreas,Gls
Alveolar macrophages.Lungs,Chil3
Alveolar macrophages.Lungs,Plet1
Alveolar macrophages.Lungs,Il1b
Alveolar macrophages.Lungs,Wfdc21
Alveolar macrophages.Lungs,Bglap3
Alveolar macrophages.Lungs,Ccl3
Alveolar macrophages.Lungs,G0s2
Alveolar macrophages.Lungs,Cxcl2
Alveolar macrophages.Lungs,Mcemp1
Alveolar macrophages.Lungs,Klhdc4
Alveolar macrophages.Lungs,Bcl2a1d
Alveolar macrophages.Lungs,Gda
Alveolar macrophages.Lungs,Clec7a
Alveolar macrophages.Lungs,Bcl2a1b
Alveolar macrophages.Lungs,Itgax
Alveolar macrophages.Lungs,Tnfaip2
Alveolar macrophages.Lungs,Cd36
Alveolar macrophages.Lungs,Gal
Alveolar macrophages.Lungs,Car4
Alveolar macrophages.Lungs,Ear2
Alveolar macrophages.Lungs,Tlr2
Alveolar macrophages.Lungs,Gpnmb
Alveolar macrophages.Lungs,Mrc1
Alveolar macrophages.Lungs,Lyz1
Alveolar macrophages.Lungs,Marco
Alveolar macrophages.Lungs,Csf2rb
Alveolar macrophages.Lungs,Mpp1
Alveolar macrophages.Lungs,Trim25
Alveolar macrophages.Lungs,Ear1
Alveolar macrophages.Lungs,Olr1
Alveolar macrophages.Lungs,S100a4
Alveolar macrophages.Lungs,Gngt2
Alveolar macrophages.Lungs,Siglecf
Anterior pituitary gland cells.Brain,Aga
Anterior pituitary gland cells.Brain,Angpt1
Anterior pituitary gland cells.Brain,Chga
Anterior pituitary gland cells.Brain,Cpeb4
Anterior pituitary gland cells.Brain,Gh
Anterior pituitary gland cells.Brain,Igsf1
Anterior pituitary gland cells.Brain,Mest
Anterior pituitary gland cells.Brain,Nktr
Anterior pituitary gland cells.Brain,Nucb2
Anterior pituitary gland cells.Brain,Pitx2
